LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
47m         Normal    SuccessfulCreate    replicaset/loadgenerator-7dd458dd5b          Created pod: loadgenerator-7dd458dd5b-8s9hz
47m         Normal    ScalingReplicaSet   deployment/currencyservice                   Scaled up replica set currencyservice-fd8f5dfb7 from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/currencyservice-fd8f5dfb7         Created pod: currencyservice-fd8f5dfb7-cljwx
47m         Warning   FailedCreate        replicaset/currencyservice-fd8f5dfb7         Error creating: pods "currencyservice-fd8f5dfb7-" is forbidden: error looking up service account default/currencyservice: serviceaccount "currencyservice" not found
47m         Normal    Scheduled           pod/currencyservice-fd8f5dfb7-cljwx          Successfully assigned default/currencyservice-fd8f5dfb7-cljwx to minikube
47m         Normal    ScalingReplicaSet   deployment/productcatalogservice             Scaled up replica set productcatalogservice-fb49fc9cc from 0 to 1
47m         Normal    Scheduled           pod/loadgenerator-7dd458dd5b-8s9hz           Successfully assigned default/loadgenerator-7dd458dd5b-8s9hz to minikube
47m         Normal    SuccessfulCreate    replicaset/productcatalogservice-fb49fc9cc   Created pod: productcatalogservice-fb49fc9cc-gh6hr
47m         Warning   FailedCreate        replicaset/productcatalogservice-fb49fc9cc   Error creating: pods "productcatalogservice-fb49fc9cc-" is forbidden: error looking up service account default/productcatalogservice: serviceaccount "productcatalogservice" not found
47m         Normal    Scheduled           pod/productcatalogservice-fb49fc9cc-gh6hr    Successfully assigned default/productcatalogservice-fb49fc9cc-gh6hr to minikube
47m         Normal    ScalingReplicaSet   deployment/checkoutservice                   Scaled up replica set checkoutservice-75b9cd684f from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/checkoutservice-75b9cd684f        Created pod: checkoutservice-75b9cd684f-dc5tt
47m         Warning   FailedCreate        replicaset/checkoutservice-75b9cd684f        Error creating: pods "checkoutservice-75b9cd684f-" is forbidden: error looking up service account default/checkoutservice: serviceaccount "checkoutservice" not found
47m         Normal    ScalingReplicaSet   deployment/loadgenerator                     Scaled up replica set loadgenerator-7dd458dd5b from 0 to 1
47m         Normal    ScalingReplicaSet   deployment/shippingservice                   Scaled up replica set shippingservice-55656785c7 from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/shippingservice-55656785c7        Created pod: shippingservice-55656785c7-b48d2
47m         Normal    Scheduled           pod/checkoutservice-75b9cd684f-dc5tt         Successfully assigned default/checkoutservice-75b9cd684f-dc5tt to minikube
47m         Normal    ScalingReplicaSet   deployment/cartservice                       Scaled up replica set cartservice-546c548494 from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/redis-cart-6899b65948             Created pod: redis-cart-6899b65948-rdm8k
47m         Normal    SuccessfulCreate    replicaset/cartservice-546c548494            Created pod: cartservice-546c548494-j4j6h
47m         Warning   FailedCreate        replicaset/cartservice-546c548494            Error creating: pods "cartservice-546c548494-" is forbidden: error looking up service account default/cartservice: serviceaccount "cartservice" not found
47m         Normal    ScalingReplicaSet   deployment/redis-cart                        Scaled up replica set redis-cart-6899b65948 from 0 to 1
47m         Normal    Scheduled           pod/shippingservice-55656785c7-b48d2         Successfully assigned default/shippingservice-55656785c7-b48d2 to minikube
47m         Normal    Scheduled           pod/cartservice-546c548494-j4j6h             Successfully assigned default/cartservice-546c548494-j4j6h to minikube
47m         Warning   FailedCreate        replicaset/shippingservice-55656785c7        Error creating: pods "shippingservice-55656785c7-" is forbidden: error looking up service account default/shippingservice: serviceaccount "shippingservice" not found
47m         Normal    ScalingReplicaSet   deployment/paymentservice                    Scaled up replica set paymentservice-6b76dfb449 from 0 to 1
47m         Normal    Scheduled           pod/emailservice-7466dc585-cj92q             Successfully assigned default/emailservice-7466dc585-cj92q to minikube
47m         Normal    Scheduled           pod/redis-cart-6899b65948-rdm8k              Successfully assigned default/redis-cart-6899b65948-rdm8k to minikube
47m         Normal    SuccessfulCreate    replicaset/emailservice-7466dc585            Created pod: emailservice-7466dc585-cj92q
47m         Normal    ScalingReplicaSet   deployment/emailservice                      Scaled up replica set emailservice-7466dc585 from 0 to 1
47m         Warning   FailedCreate        replicaset/emailservice-7466dc585            Error creating: pods "emailservice-7466dc585-" is forbidden: error looking up service account default/emailservice: serviceaccount "emailservice" not found
47m         Normal    Scheduled           pod/paymentservice-6b76dfb449-m2g8g          Successfully assigned default/paymentservice-6b76dfb449-m2g8g to minikube
47m         Warning   FailedCreate        replicaset/paymentservice-6b76dfb449         Error creating: pods "paymentservice-6b76dfb449-" is forbidden: error looking up service account default/paymentservice: serviceaccount "paymentservice" not found
47m         Warning   FailedCreate        replicaset/frontend-694b9f76cd               Error creating: pods "frontend-694b9f76cd-" is forbidden: error looking up service account default/frontend: serviceaccount "frontend" not found
47m         Normal    ScalingReplicaSet   deployment/frontend                          Scaled up replica set frontend-694b9f76cd from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/paymentservice-6b76dfb449         Created pod: paymentservice-6b76dfb449-m2g8g
47m         Normal    Scheduled           pod/frontend-694b9f76cd-7ngbj                Successfully assigned default/frontend-694b9f76cd-7ngbj to minikube
47m         Normal    ScalingReplicaSet   deployment/recommendationservice             Scaled up replica set recommendationservice-6f8f67d69 from 0 to 1
47m         Normal    SuccessfulCreate    replicaset/frontend-694b9f76cd               Created pod: frontend-694b9f76cd-7ngbj
47m         Normal    SuccessfulCreate    replicaset/adservice-8576649cff              Created pod: adservice-8576649cff-rvdb4
47m         Warning   FailedCreate        replicaset/recommendationservice-6f8f67d69   Error creating: pods "recommendationservice-6f8f67d69-" is forbidden: error looking up service account default/recommendationservice: serviceaccount "recommendationservice" not found
47m         Normal    SuccessfulCreate    replicaset/recommendationservice-6f8f67d69   Created pod: recommendationservice-6f8f67d69-7cw9t
47m         Normal    ScalingReplicaSet   deployment/adservice                         Scaled up replica set adservice-8576649cff from 0 to 1
47m         Normal    Scheduled           pod/recommendationservice-6f8f67d69-7cw9t    Successfully assigned default/recommendationservice-6f8f67d69-7cw9t to minikube
47m         Warning   FailedCreate        replicaset/adservice-8576649cff              Error creating: pods "adservice-8576649cff-" is forbidden: error looking up service account default/adservice: serviceaccount "adservice" not found
47m         Normal    Scheduled           pod/adservice-8576649cff-rvdb4               Successfully assigned default/adservice-8576649cff-rvdb4 to minikube
47m         Normal    Pulling             pod/currencyservice-fd8f5dfb7-cljwx          Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4"
44m         Normal    Pulling             pod/loadgenerator-7dd458dd5b-8s9hz           Pulling image "busybox:latest"
47m         Normal    Pulling             pod/shippingservice-55656785c7-b48d2         Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4"
