[Healthcheck] Kafka reachable at localhost:9092
[Monitoring] Starting agent | consume=[jatayu.telemetry.service_health, jatayu.snapshot.context] | publish=jatayu.agent.monitoring.alerts
[Monitoring] Alert published for adservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for cartservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for checkoutservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for currencyservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for emailservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for frontend (info) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for loadgenerator (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for paymentservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for productcatalogservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for recommendationservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for redis-cart (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for shippingservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for adservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for cartservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for checkoutservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for currencyservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for emailservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for frontend (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for loadgenerator (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for paymentservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for productcatalogservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for recommendationservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for redis-cart (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for shippingservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for adservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for cartservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for checkoutservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for currencyservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for emailservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for frontend (info) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for loadgenerator (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for paymentservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for productcatalogservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for recommendationservice (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for redis-cart (critical) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for shippingservice (warning) run=1774439669 scenario=c_cpu_spike
[Monitoring] Alert published for adservice (critical) run=1774439669 scenario=c_cpu_spike
