[Healthcheck] Kafka reachable at localhost:9092
[RCA] Starting agent | consume=jatayu.agent.monitoring.alerts | publish=jatayu.agent.rca.results
[RCA] Loaded dependency graph: 10 services
[RCA] Pre-loaded 0 health records
[RCA] Received alert for adservice (critical)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for cartservice (critical)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for checkoutservice (warning)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for currencyservice (critical)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for emailservice (critical)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for frontend (info)
[RCA] No root cause found yet (health snapshot: 0 services)
[RCA] Received alert for loadgenerator (warning)
[RCA] Result published: root_cause=adservice, failure=pod_killed, confidence=0.91
[RCA] Received alert for paymentservice (critical)
[RCA] Result published: root_cause=adservice, failure=pod_killed, confidence=0.91
[RCA] Received alert for productcatalogservice (warning)
[RCA] Result published: root_cause=cartservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for recommendationservice (critical)
[RCA] Result published: root_cause=currencyservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for redis-cart (critical)
[RCA] Result published: root_cause=currencyservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for shippingservice (warning)
[RCA] Result published: root_cause=currencyservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for adservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for cartservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for checkoutservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for currencyservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for emailservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for frontend (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for loadgenerator (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for paymentservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for productcatalogservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for recommendationservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for redis-cart (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for shippingservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for adservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for cartservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for checkoutservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for currencyservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for emailservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for frontend (info)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for loadgenerator (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for paymentservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for productcatalogservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for recommendationservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for redis-cart (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for shippingservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for adservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for cartservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for checkoutservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for currencyservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for emailservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for frontend (info)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for loadgenerator (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for paymentservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for productcatalogservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for recommendationservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for redis-cart (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for shippingservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for adservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for cartservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for checkoutservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for currencyservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for emailservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for frontend (info)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for loadgenerator (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for paymentservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for productcatalogservice (warning)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for recommendationservice (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for redis-cart (critical)
[RCA] Result published: root_cause=paymentservice, failure=pod_killed, confidence=0.99
[RCA] Received alert for shippingservice (warning)
